	model	metric	k	value
0	MKR	recall	10	0.127
1	MKR	recall	20	0.2021
2	MKR	recall	30	0.2576
3	MKR	recall	40	0.3066
4	MKR	recall	50	0.3478
5	MKR	mrr	10	0.3772
6	MKR	mrr	20	0.3848
7	MKR	mrr	30	0.3869
8	MKR	mrr	40	0.388
9	MKR	mrr	50	0.3884
10	MKR	ndcg	10	0.2104
11	MKR	ndcg	20	0.2154
12	MKR	ndcg	30	0.2264
13	MKR	ndcg	40	0.2397
14	MKR	ndcg	50	0.252
15	MKR	hit	10	0.6672
16	MKR	hit	20	0.7757
17	MKR	hit	30	0.8293
18	MKR	hit	40	0.8654
19	MKR	hit	50	0.8869
20	MKR	precision	10	0.1715
21	MKR	precision	20	0.1399
22	MKR	precision	30	0.1211
23	MKR	precision	40	0.1088
24	MKR	precision	50	0.0995
25	MKR	map	10	0.1196
26	MKR	map	20	0.1039
27	MKR	map	30	0.1008
28	MKR	map	40	0.1011
29	MKR	map	50	0.1026
30	KGAT	recall	10	0.1518
31	KGAT	recall	20	0.2337
32	KGAT	recall	30	0.2948
33	KGAT	recall	40	0.3449
34	KGAT	recall	50	0.3861
35	KGAT	mrr	10	0.4272
36	KGAT	mrr	20	0.434
37	KGAT	mrr	30	0.4359
38	KGAT	mrr	40	0.4367
39	KGAT	mrr	50	0.4372
40	KGAT	ndcg	10	0.2434
41	KGAT	ndcg	20	0.2481
42	KGAT	ndcg	30	0.26
43	KGAT	ndcg	40	0.2731
44	KGAT	ndcg	50	0.2855
45	KGAT	hit	10	0.722
46	KGAT	hit	20	0.8182
47	KGAT	hit	30	0.8659
48	KGAT	hit	40	0.8942
49	KGAT	hit	50	0.9142
50	KGAT	precision	10	0.1927
51	KGAT	precision	20	0.1547
52	KGAT	precision	30	0.133
53	KGAT	precision	40	0.1184
54	KGAT	precision	50	0.1076
55	KGAT	map	10	0.1432
56	KGAT	map	20	0.1256
57	KGAT	map	30	0.1219
58	KGAT	map	40	0.1221
59	KGAT	map	50	0.1236
60	KGCN	recall	10	0.1339
61	KGCN	recall	20	0.2071
62	KGCN	recall	30	0.2656
63	KGCN	recall	40	0.3141
64	KGCN	recall	50	0.3548
65	KGCN	mrr	10	0.397
66	KGCN	mrr	20	0.4042
67	KGCN	mrr	30	0.4063
68	KGCN	mrr	40	0.4072
69	KGCN	mrr	50	0.4076
70	KGCN	ndcg	10	0.222
71	KGCN	ndcg	20	0.2247
72	KGCN	ndcg	30	0.2365
73	KGCN	ndcg	40	0.2493
74	KGCN	ndcg	50	0.2615
75	KGCN	hit	10	0.6854
76	KGCN	hit	20	0.7902
77	KGCN	hit	30	0.8396
78	KGCN	hit	40	0.871
79	KGCN	hit	50	0.8924
80	KGCN	precision	10	0.1788
81	KGCN	precision	20	0.1433
82	KGCN	precision	30	0.1244
83	KGCN	precision	40	0.1114
84	KGCN	precision	50	0.1016
85	KGCN	map	10	0.1281
86	KGCN	map	20	0.1106
87	KGCN	map	30	0.1075
88	KGCN	map	40	0.1077
89	KGCN	map	50	0.1091
90	CKE	recall	10	0.151
91	CKE	recall	20	0.2322
92	CKE	recall	30	0.2943
93	CKE	recall	40	0.3453
94	CKE	recall	50	0.3862
95	CKE	mrr	10	0.428
96	CKE	mrr	20	0.4349
97	CKE	mrr	30	0.4369
98	CKE	mrr	40	0.4378
99	CKE	mrr	50	0.4381
100	CKE	ndcg	10	0.2435
101	CKE	ndcg	20	0.2472
102	CKE	ndcg	30	0.2596
103	CKE	ndcg	40	0.2729
104	CKE	ndcg	50	0.2851
105	CKE	hit	10	0.7197
106	CKE	hit	20	0.819
107	CKE	hit	30	0.8667
108	CKE	hit	40	0.899
109	CKE	hit	50	0.9157
110	CKE	precision	10	0.1933
111	CKE	precision	20	0.1542
112	CKE	precision	30	0.1331
113	CKE	precision	40	0.1186
114	CKE	precision	50	0.1076
115	CKE	map	10	0.1435
116	CKE	map	20	0.125
117	CKE	map	30	0.1216
118	CKE	map	40	0.1217
119	CKE	map	50	0.1231
120	RippleNet	recall	10	0.1103
121	RippleNet	recall	20	0.1755
122	RippleNet	recall	30	0.2259
123	RippleNet	recall	40	0.2675
124	RippleNet	recall	50	0.305
125	RippleNet	mrr	10	0.3509
126	RippleNet	mrr	20	0.3587
127	RippleNet	mrr	30	0.361
128	RippleNet	mrr	40	0.362
129	RippleNet	mrr	50	0.3626
130	RippleNet	ndcg	10	0.1903
131	RippleNet	ndcg	20	0.1928
132	RippleNet	ndcg	30	0.2022
133	RippleNet	ndcg	40	0.2131
134	RippleNet	ndcg	50	0.2244
135	RippleNet	hit	10	0.6267
136	RippleNet	hit	20	0.7373
137	RippleNet	hit	30	0.7944
138	RippleNet	hit	40	0.8305
139	RippleNet	hit	50	0.8565
140	RippleNet	precision	10	0.1553
141	RippleNet	precision	20	0.1265
142	RippleNet	precision	30	0.1101
143	RippleNet	precision	40	0.0989
144	RippleNet	precision	50	0.091
145	RippleNet	map	10	0.107
146	RippleNet	map	20	0.0911
147	RippleNet	map	30	0.0873
148	RippleNet	map	40	0.087
149	RippleNet	map	50	0.088
